age,gender,education,country,ethnicity,nscore,escore,oscore,ascore,cscore,choc
2,Male,3,Canada,Mixed-White/Black,39,36,42,37,42,5
1,Female,0,Canada,Mixed-Black/Asian,29,52,55,48,41,6
2,Female,3,Canada,Mixed-Black/Asian,31,45,40,32,34,4
0,Male,2,Canada,Mixed-Black/Asian,34,34,46,47,46,4
2,Male,0,Canada,Mixed-Black/Asian,43,28,43,41,50,6
5,Male,0,New Zealand,Mixed-Black/Asian,29,38,35,55,52,4
3,Female,2,UK,Mixed-Black/Asian,31,32,43,41,48,5
2,Female,0,Canada,Mixed-Black/Asian,24,52,40,41,52,4
2,Male,3,New Zealand,Mixed-Black/Asian,42,55,39,48,49,6
4,Female,2,Canada,Mixed-Black/Asian,33,40,36,47,43,6
1,Male,5,Canada,Mixed-Black/Asian,26,45,38,38,53,5
3,Female,4,Australia,Mixed-Black/Asian,24,40,47,30,38,5
4,Male,5,Canada,Mixed-Black/Asian,56,41,49,32,36,5
4,Male,3,New Zealand,Mixed-Black/Asian,28,45,46,49,59,0
4,Male,3,Canada,Mixed-Black/Asian,27,49,49,39,52,6
4,Female,5,Canada,Mixed-Black/Asian,19,29,35,36,49,5
2,Male,4,Canada,Mixed-Black/Asian,22,34,34,45,47,5
3,Female,0,Canada,Mixed-Black/Asian,41,31,44,40,31,4
4,Female,5,USA,Mixed-Black/Asian,49,39,45,30,30,6
2,Female,3,Canada,Mixed-Black/Asian,32,27,29,30,47,6
3,Female,3,Canada,Mixed-Black/Asian,28,45,51,53,33,6
5,Female,1,Canada,Mixed-Black/Asian,25,43,38,39,53,6
3,Female,5,Canada,Mixed-Black/Asian,40,33,40,50,35,6
3,Female,0,Canada,Mixed-Black/Asian,51,16,37,45,34,6
4,Female,5,Canada,Mixed-Black/Asian,34,44,54,48,51,5
3,Female,4,Canada,Mixed-Black/Asian,28,37,37,49,42,5
4,Male,0,New Zealand,Mixed-Black/Asian,35,28,24,38,46,6
2,Female,5,Canada,Mixed-Black/Asian,41,31,46,43,25,5
2,Male,2,Canada,Mixed-Black/Asian,36,29,41,45,50,5
3,Female,0,Canada,Mixed-Black/Asian,24,51,52,49,53,6
3,Female,0,Canada,Mixed-Black/Asian,39,34,37,33,37,6
2,Male,0,Australia,Mixed-Black/Asian,25,34,47,39,42,5
2,Female,5,Canada,Mixed-Black/Asian,28,31,46,46,42,6
0,Female,5,Canada,Mixed-Black/Asian,40,38,48,51,41,6
2,Female,5,UK,Mixed-White/Asian,46,44,52,23,36,5
5,Female,1,Canada,Mixed-Black/Asian,33,34,28,41,36,6
2,Female,5,Canada,Mixed-Black/Asian,33,36,45,43,30,5
4,Female,1,UK,Mixed-Black/Asian,39,42,53,44,37,4
3,Female,5,Canada,Mixed-Black/Asian,22,48,48,43,47,5
5,Male,3,Canada,Mixed-Black/Asian,33,33,38,38,45,6
2,Female,2,Canada,Mixed-Black/Asian,36,37,46,29,47,6
2,Male,5,Canada,Mixed-Black/Asian,44,40,53,54,39,6
2,Female,2,Canada,Mixed-Black/Asian,34,33,37,43,37,4
2,Female,3,Canada,Mixed-Black/Asian,27,36,44,42,34,6
1,Female,5,Canada,Mixed-White/Asian,26,49,49,51,48,5
1,Male,5,Canada,Mixed-Black/Asian,31,43,54,49,52,6
3,Male,4,New Zealand,Mixed-Black/Asian,39,44,38,45,51,4
3,Female,2,Canada,Mixed-Black/Asian,19,45,48,49,49,4
3,Female,0,Canada,Mixed-Black/Asian,37,34,44,42,37,6
1,Male,2,Canada,Other,44,36,32,37,44,6
2,Female,2,Canada,Mixed-Black/Asian,46,39,45,35,42,6
3,Female,3,New Zealand,Mixed-Black/Asian,47,46,42,37,27,6
4,Male,5,Canada,Mixed-Black/Asian,34,40,36,45,36,5
3,Female,2,Canada,Mixed-Black/Asian,23,39,53,45,44,5
4,Female,0,Canada,Mixed-Black/Asian,36,47,42,36,33,6
4,Male,3,Canada,Mixed-Black/Asian,36,35,38,40,39,6
2,Male,4,Canada,Mixed-Black/Asian,36,40,34,43,44,6
1,Male,5,Canada,Mixed-Black/Asian,30,44,32,45,47,3
3,Female,0,Canada,Mixed-Black/Asian,38,44,46,40,39,5
3,Female,5,Canada,Mixed-Black/Asian,31,31,37,32,41,6
1,Male,0,Canada,Mixed-Black/Asian,49,42,48,41,40,6
3,Female,2,Canada,Black,18,50,54,44,50,5
1,Female,5,Canada,Mixed-Black/Asian,30,30,33,34,45,5
