"nodesize","mtry","TC_f_rf"
1,1,3005.27877593749
2,1,3001.1527120855
3,1,3033.25396598027
4,1,3012.355358766
5,1,3004.48840329809
6,1,3010.08807493315
7,1,3017.05920713518
8,1,3023.50777553967
9,1,3019.2076454431
10,1,3019.01899194638
1,2,3186.09704141064
2,2,3168.7645578374
3,2,3179.76540127202
4,2,3198.58329553979
5,2,3160.40607453372
6,2,3169.04334033942
7,2,3134.1214665492
8,2,3101.64836889922
9,2,3088.96859079793
10,2,3073.18151822227
1,3,3201.20106437788
2,3,3221.83291748794
3,3,3232.96263446005
4,3,3219.03943392412
5,3,3176.82939822657
6,3,3158.12681490512
7,3,3193.97358979345
8,3,3151.99601297156
9,3,3215.49007439039
10,3,3174.31606999702
1,4,3169.65629524529
2,4,3274.61859591348
3,4,3200.88924505081
4,4,3206.63129370315
5,4,3188.94355323976
6,4,3209.58293487076
7,4,3197.58320132563
8,4,3187.42662943237
9,4,3171.61099942423
10,4,3160.57862471552
1,5,3210.7879248917
2,5,3248.17551759987
3,5,3222.00743435582
4,5,3274.54131914508
5,5,3232.92558831412
6,5,3188.40020049455
7,5,3244.33416455217
8,5,3274.22153816079
9,5,3235.94089434226
10,5,3192.26927826034
1,6,3275.43390780862
2,6,3284.30762871857
3,6,3243.3933443995
4,6,3228.25874033531
5,6,3215.92487621911
6,6,3262.03339245577
7,6,3243.86220951625
8,6,3207.13307403263
9,6,3199.09677519481
10,6,3245.87223846662
1,7,3470.35319064717
2,7,3272.63237711387
3,7,3274.76331708027
4,7,3275.0070275083
5,7,3241.21332566013
6,7,3263.18676163155
7,7,3281.30748448896
8,7,3258.13016533368
9,7,3237.67421058453
10,7,3277.52190002627
1,8,3438.58075572933
2,8,3221.07172423789
3,8,3243.71393609383
4,8,3290.70488644727
5,8,3318.7915020815
6,8,3253.38979229097
7,8,3294.42330009488
8,8,3206.92347096875
9,8,3233.79084768814
10,8,3226.10457677806
1,9,3694.97263342702
2,9,3280.66495570911
3,9,3279.76179890287
4,9,3290.49791300714
5,9,3235.93051690799
6,9,3220.52902038189
7,9,3296.53116226303
8,9,3220.05427163353
9,9,3286.95460669784
10,9,3210.99705136224
1,10,3482.44974498739
2,10,3312.62832008831
3,10,3272.68216827129
4,10,3291.97806865891
5,10,3265.38942929892
6,10,3294.46499991517
7,10,3216.00220902198
8,10,3263.34083375736
9,10,3257.39079671283
10,10,3256.15655131706
