"nodesize","mtry","TC_rf"
1,1,3058.83576580058
2,1,3021.95284489124
3,1,3022.70835351727
4,1,3015.87418470521
5,1,3032.52363198296
6,1,3046.6270430761
7,1,2976.86756981826
8,1,3028.19320010982
9,1,3028.36595056796
10,1,3025.26565139219
1,2,3117.41923212231
2,2,3143.39596296591
3,2,3187.11591102143
4,2,3147.07455090168
5,2,3145.40341471681
6,2,3120.10329310939
7,2,3093.57393803463
8,2,3106.31150674275
9,2,3104.71910234692
10,2,3108.81364812741
1,3,3574.15257978053
2,3,3214.333450128
3,3,3227.93830757488
4,3,3200.99546388646
5,3,3207.15464767742
6,3,3199.64517969081
7,3,3188.91767745078
8,3,3171.12288266688
9,3,3138.48476111884
10,3,3154.35623345414
1,4,3431.97331673727
2,4,3242.31288883031
3,4,3276.10303902353
4,4,3261.83911748566
5,4,3202.56186725855
6,4,3193.64285312639
7,4,3224.03048810865
8,4,3178.11345962064
9,4,3204.18560081333
10,4,3161.26556837635
1,5,3390.79990207881
2,5,3449.87269810006
3,5,3232.68176826889
4,5,3211.40881237718
5,5,3263.78237386287
6,5,3207.68972324513
7,5,3199.96112851069
8,5,3209.82712411094
9,5,3231.70448993996
10,5,3196.52364221897
1,6,3644.16351658935
2,6,3459.23587298198
3,6,3307.44965172328
4,6,3229.98949830553
5,6,3261.50000212075
6,6,3227.3925688106
7,6,3210.5522142638
8,6,3262.07595080112
9,6,3227.97458952636
10,6,3183.93596783236
1,7,3671.78344090824
2,7,3463.12967672683
3,7,3307.9389257193
4,7,3215.18154098053
5,7,3279.37755141944
6,7,3238.86743453749
7,7,3236.65634741827
8,7,3276.27009381256
9,7,3219.39266119208
10,7,3234.68539787072
1,8,3862.58653360351
2,8,3431.0406537005
3,8,3453.85342061202
4,8,3315.53603400109
5,8,3271.57150283369
6,8,3237.26009275685
7,8,3294.32104867989
8,8,3250.13825179049
9,8,3269.2268167525
10,8,3277.48771594724
1,9,3889.9720126194
2,9,3504.71834184233
3,9,3508.60234641983
4,9,3305.60558341261
5,9,3252.94874866239
6,9,3286.63110742623
7,9,3260.07794067451
8,9,3255.57374233078
9,9,3270.31454092777
10,9,3235.31693477401
1,10,3678.81390190067
2,10,3492.03752455967
3,10,3484.98828018407
4,10,3564.32313737058
5,10,3314.27561625413
6,10,3256.63885991956
7,10,3231.7672606394
8,10,3256.94375333835
9,10,3263.94033736257
10,10,3247.72722662178
